gap,t1 count,t2 count,mixed count,insensitive count
0.10796055197715759,34,301,341,53
0.17785859107971191,18,242,400,69
0.10485374927520752,36,170,435,88
0.3812992572784424,9,184,442,94
0.11051154136657715,0,8,721,0
0.10883688926696777,0,109,620,0
0.09537878632545471,14,245,389,81
0.20129799842834473,21,318,334,56
0.10464072227478027,31,190,410,98
0.21704649925231934,28,221,431,49
0.11835978180170059,39,383,267,40
0.11162328720092773,36,174,439,80
0.31070423126220703,11,290,333,95
0.1429588794708252,17,263,380,69
0.15206250548362732,59,346,273,51
0.28485894203186035,20,186,451,72
0.14256861805915833,29,279,331,90
0.16578972339630127,22,171,464,72
0.07606446743011475,57,195,429,48
0.09092345833778381,45,366,279,39
0.230047345161438,11,188,450,80
0.11855931580066681,48,201,402,78
0.19062507152557373,27,254,396,52
0.4137868881225586,8,239,414,68
0.06112384796142578,50,121,494,64
0.18737483024597168,37,217,399,76
0.11569580435752869,54,184,457,34
0.1405651569366455,0,150,579,0
0.15032675862312317,50,278,342,59
0.19567489624023438,16,220,439,54
0.2942640781402588,0,18,711,0
0.13196146488189697,37,190,455,47
0.3559354543685913,47,258,364,60
0.07172226905822754,0,194,535,0
0.23252201080322266,27,249,407,46
0.12037670612335205,32,176,415,106
0.19019055366516113,0,40,689,0
0.12130218744277954,44,288,348,49
0.11724841594696045,31,297,334,67
0.31647396087646484,19,191,441,78
0.2663172483444214,21,214,391,103
0.14694026112556458,52,382,261,34
0.4533553123474121,15,225,400,89
0.11623549461364746,36,370,280,43
0.08625027537345886,38,196,437,58
0.11303499341011047,21,227,397,84
0.3084676265716553,15,223,396,95
0.1910381317138672,24,183,454,68
0.06935811042785645,19,220,418,72
0.3317296504974365,6,237,372,114
0.2183471918106079,32,167,415,115
0.33173155784606934,15,217,426,71
0.27849042415618896,0,75,654,0
0.18205857276916504,35,191,416,87
0.08718323707580566,29,226,398,76
0.20369470119476318,0,243,486,0
0.1736685037612915,17,250,399,63
0.20858466625213623,32,239,392,66
0.19208276271820068,30,286,325,88
0.11613482236862183,33,364,280,52
0.2521235942840576,1,300,358,70
0.18622243404388428,29,185,437,78
0.28264832496643066,17,322,312,78
0.0792156457901001,20,220,389,100
0.26441264152526855,0,41,688,0
0.15086030960083008,4,281,444,0
0.1815091371536255,0,23,706,0
0.3674440383911133,9,246,392,82
0.1071016788482666,42,275,353,59
0.11912024021148682,0,6,723,0
0.0848730206489563,0,156,573,0
0.13043451309204102,30,214,418,67
0.16714954376220703,0,25,704,0
0.11509854346513748,40,332,303,54
0.22547388076782227,37,288,356,48
0.41962313652038574,17,215,418,79
0.3605778217315674,11,205,398,115
0.10344314575195312,33,200,445,51
0.2586623430252075,20,262,369,78
0.13663756847381592,52,320,350,7
0.25369930267333984,22,191,451,65
0.16157150268554688,9,243,415,62
0.23612570762634277,9,206,445,69
0.2194991111755371,35,208,395,91
0.27518153190612793,0,43,686,0
0.1722167730331421,24,229,404,72
0.2828470468521118,19,229,374,107
0.22901058197021484,0,79,650,0
0.3214603662490845,13,178,426,112
0.15194259583950043,37,423,269,0
0.4467874765396118,34,268,348,79
0.08997175842523575,44,341,297,47
0.1811467409133911,13,291,334,91
0.18241512775421143,12,191,428,98
0.116755411028862,36,556,96,41
0.10230746865272522,39,318,276,96
0.15470147132873535,31,291,346,61
0.35072457790374756,31,219,432,47
0.17527198791503906,0,105,624,0
0.17887729406356812,47,379,265,38
